,Kod,Popis,Typ
619,4.10.1.1,"Zásuvka nebo zástrčka poškozená, ale stav poškození zjevně neovlivňuje spolehlivost elektrického propojení vozidel.",A
620,4.10.1.2,"Zásuvka nebo zástrčka poškozená tak (mechanicky, oxidace apod.), že poškození zjevně ovlivňuje funkci některého světelného zařízení přípojného vozidla nebo negativně ovlivňuje spolehlivost elektrického propojení vozidel.",B
621,4.10.1.3,Vozidlo není vybaveno předepsanou zástrčkou nebo zásuvkou nebo zástrčka / zásuvka není schváleného provedení.,B
622,4.10.2.1,"Uvolněné uchycení zásuvky k vozidlu, které však neovlivňuje spolehlivost elektrického propojení vozidel.",A
623,4.10.2.2,Chybné uchycení nebo způsob montáže zásuvky na vozidle nebo chybná montáž zástrčky k propojovacímu kabelu ovlivňuje funkci některého světelného zařízení přípojného vozidla nebo negativně ovlivňuje spolehlivost elektrického propojení vozidel.,B
624,4.10.3.1,"Izolace propojovacího kabelu poškozená, ale stav poškození zjevně neovlivňuje spolehlivost elektrického propojení vozidel.",A
625,4.10.3.2,"Izolace propojovacího kabelu poškozená (např. prodřená) tak, že poškození zjevně ovlivňuje funkci některého světelného zařízení přípojného vozidla nebo může negativně ovlivňovat spolehlivost elektrického propojení vozidel.",B
626,4.10.3.3,Nebezpečná úprava propojovacího elektrického kabelu.,B
627,4.10.4.1,"Elektrické propojení tažného vozidla s přípojným vozidlem nefunguje správně, v důsledku čehož na přípojném vozidle nesvítí zadní mlhová svítilna nebo zpětný světlomet nebo směrová svítilna na straně přivrácené ke kraji vozovky nebo na některé straně vozidla nesvítí obrysové, doplňkové obrysové nebo boční obrysové svítilny nebo zařízení k osvětlení zadní tabulky registrační značky.",B
628,4.10.4.2,"Elektrické propojení tažného vozidla s přípojným vozidlem nefunguje správně v důsledku chybného ukostření nebo chybného zapojení, na tažném a přípojném vozidle svítí rozdílné svítilny (funkce).",B
629,4.10.4.3,"Elektrické propojení tažného vozidla s přípojným vozidlem chybí nebo nefunguje správně, v důsledku čehož na přípojném vozidle nesvítí brzdové svítilny nebo směrová svítilna na straně přivrácené do středu vozovky nebo na tažném a přípojném vozidle svítí směrové svítilny na opačných stranách vozidel a tato závada bezprostředně ohrožuje provoz vozidla na pozemních komunikacích.",C
630,4.11.1.1,"Uchycení elektrických kabelů neodpovídá požadavkům, avšak nehrozí jejich poškození nebo přerušení.",A
631,4.11.1.2,"U vozidel určených pro přepravu nebezpečných věcí (ADR), vedení nebo ochrana elektrických kabelů neodpovídá požadavkům.",B
632,4.11.1.3,"Uchycení nebo způsob montáže (např. vedení) elektrických kabelů neodpovídá požadavkům, hrozí nebezpečí jejich poškození nebo přerušení.",B
633,4.11.1.4,"Elektrické kabely nevhodně vedeny nebo nespolehlivě připevněny, hrozí bezprostřední nebezpečí vzniku elektrického zkratu nebo požáru v důsledku jejich poškození.",C
634,4.11.2.1,"Svorkovnice částečně poškozená, neúplná (např. chybí kryt).",A
635,4.11.2.2,Způsob spojení elektrických kabelů neodpovídá požadavkům (např. mimo svorkovnici vozidla) nebo hrozí nebezpečí přerušení spojení.,B
636,4.11.2.3,"Způsob spojení elektrických kabelů neodpovídá požadavkům (např. mimo svorkovnici vozidla), hrozí bezprostřední nebezpečí vzniku elektrického zkratu nebo požáru.",C
637,4.11.3.1,Izolace elektrického kabelu v mírně zhoršeném stavu.,A
638,4.11.3.2,"Elektrický kabel nebo jeho izolace poškozená tak, že poškození zjevně ovlivňuje jeho spolehlivost nebo hrozí nebezpečí vzniku elektrického zkratu.",B
639,4.11.3.3,"Izolace elektrického kabelu je natolik poškozená (obnažený vodič), že hrozí bezprostřední nebezpečí vzniku elektrického zkratu nebo požáru.",C
640,4.11.3.4,"Zjevné poškození izolace kabelu, svědčící o jeho značném proudovém přetěžování (např. roztavená izolace kabelu u světlometu), hrozí bezprostřední nebezpečí vzniku požáru.",C
641,4.11.4.1,"Nebezpečná úprava elektroinstalace, která má vliv na její spolehlivost nebo při které hrozí nebezpečí vzniku elektrického zkratu.",B
642,4.11.4.2,"Nebezpečná úprava elektroinstalace, při které hrozí bezprostřední nebezpečí vzniku elektrického zkratu nebo požáru.",C
643,4.12.1.1.1,Nesvítí některé (jiné) nepovinné (volitelné) světelné zařízení.,A
644,4.12.1.1.2,Nesvítí některé (jiné) povinné světelné zařízení.,B
645,4.12.1.1.3,U (jiného) světelného zařízení zdroj světla chybně upevněn nebo je vadný takže nesplňuje fotometrické vlastnosti (např. intenzita vyzařovaného světla) nebo mění barvu vyzařovaného světla.,B
646,4.12.1.1.5,"Vnější krycí sklo, těleso nebo optický systém (jiného) světelného zařízení poškozený tak, že poškození zjevně ovlivňuje nebo bude ovlivňovat jeho funkci nebo jeho optické vlastnosti (např. intenzita vyzařovaného světla) nebo mění barvu vyzařovaného světla.",B
647,4.12.1.1.6,Světelný systém (např. AFS / HIAS) není zjevně funkční a způsobuje zjevně oslnění.,B
648,4.12.1.2.1,Nepovinné (jiné volitelné) světelné zařízení nelze uvést v činnost.,A
649,4.12.1.2.2,Povinné (jiné) světelné zařízení nelze uvést v činnost.,B
650,4.12.1.2.3,Elektrické zapojení nebo způsob uvedení v činnost (jiného) světelného zařízení (povinného / nepovinného) není v souladu s požadavky.,B
651,4.12.1.2.4,Funkce nebo činnost světelného systému (např. AFS / HIAS) není v souladu s požadavky.,B
652,4.12.1.3.1,"Uvolněné uchycení (jiného) světelného zařízení, které však neovlivňuje jeho funkci nebo fotometrické vlastnosti (např. viditelnost) nebo spolehlivost jeho montáže.",A
653,4.12.1.3.2,Chybné uchycení nebo způsob montáže (jiného) světelného zařízení negativně ovlivňuje jeho funkci nebo fotometrické vlastnosti (např. viditelnost) nebo může dojít k jejímu upadnutí.,B
654,4.12.2.1.1,Vozidlo není vybaveno (J,B
655,4.12.2.1.2,Skutečný stav zapojených (jiných) světelných zařízení neodpovídá předepsanému / povolenému počtu (chybí / překračuje).,B
656,4.12.2.1.3,"Světelné zařízení (jiné), s výjimkou pracovních světlometů, není homologované (např. DOT) a na jeho použití není udělena výjimka, zapsaná v technickém průkazu vozidla.",B
657,4.12.2.1.4,"Pro (jiné) světelné zařízení použito světelné zařízení, určené pro jinou funkci osvětlení.",B
658,4.12.2.1.5,"Umístění (jiných) světelných zařízení na vozidle nesplňuje požadavky na jejich uspořádání nebo orientaci nebo požadavky na jejich umístění vzhledem k šířce, výšce nebo délce vozidla nebo jejich úhlovému naklopení či orientace montáže (TOP) nebo podmínky jejich geometrické viditelnosti.",B
659,4.12.2.1.6,"Světelná zařízení (jiná) jsou umístěna na pohyblivých částech, nebo jejich umístění na pohyblivých částech není v souladu s požadavky.",A
660,4.12.2.1.7,"Umístění nebo způsob montáže (jiných) světelných zařízení nebo jejich úprava (např. ochranné mřížky), nesplňuje požadavky na vnější výčnělky na vozidle.",B
661,4.12.2.1.8,"Dodatečně upravené nebo instalované (jiné) světelné zařízení, není-li stanoveno jinak, vyzařuje směrem dopředu nepřerušované světlo jiné barvy než bílé, směrem dozadu nepřerušované světlo jiné barvy než červené a směrem do stran nepřerušované světlo jiné barvy než oranžové, nebo sada (jiných) světelných zařízení (společný pár) zjevně nesplňuje stejné fotometrické vlastnosti.",B
662,4.12.2.1.9,Intenzita vyzařovaného světla (jiných) světelných zařízení zjevně neodpovídá požadavkům (je nízká / vysoká).,B
663,4.12.2.1.10,Na vozidle je v rozporu s jinými legislativními požadavky namontováno světelné zařízení nebo světelný systém (zvláštní výstražné světelné zařízení určené pro vozidla s právem přednosti v jízdě apod.),B
664,4.12.2.2,"Povinná kontrolka činnosti / signalizace poruchy /zapojení obvodu (optická nebo zvuková) světelného zařízení (jiného) nebo světelného systému, je-li vyžadována, chybí.",B
665,4.12.2.3.1,"Úpravy na vozidle, které ovlivňují vnější povrch rozptylového skla, avšak nezasahují do svítící plochy nebo plochy výstupu světla (jiného) světelného zařízení.",A
666,4.12.2.3.2,Nepovolená úprava (jiného) světelného zařízení nebo jeho zdroje světla.,B
667,4.12.2.3.3,Použití nehomologovaného / neschváleného zdroje světla nebo nepovolená změna zdroje světla u (jiného) světelného zařízení.,B
668,4.13.1,Vozidlo nelze spolehlivě nastartovat.,B
669,4.13.2.1,"Akumulátor nedostatečně utěsněn, avšak elektrolyt nevytéká.",A
670,4.13.2.2,"Akumulátor je poškozen, z akumulátoru vytéká elektrolyt.",B
671,4.13.3.1,"Odpojovač akumulátoru je nespolehlivý nebo je-li vyžadován, chybí nebo neodpovídá požadavkům.",B
672,4.13.3.2,Přístup k odpojovači akumulátoru omezen.,B
673,4.13.3.3,Nespolehlivé uchycení odpojovače akumulátoru k vozidlu nebo uvolněné spojení elektrických kabelů s odpojovačem akumulátoru.,B
674,4.13.4,Zjevná vada pojistky nebo zjevná nebezpečná úprava/změna pojistky (popřípadě pojistek).,B
675,4.13.5,Odvětrání akumulátoru mimo prostor pro řidiče a cestující je zjevně nedostatečné nebo chybí.,B
676,4.13.6.1,Akumulátor není dostatečně uchycen nebo jeho upevnění není spolehlivé nebo jeho umístění neodpovídá požadavkům.,B
677,4.13.6.2,Akumulátor není uchycen nebo jeho upevnění není spolehlivé nebo jeho umístění neodpovídá požadavkům a může způsobit zkrat nebo požár.,C
678,4.13.7,"Spojení kabelů s akumulátorem je uvolněné nebo vývody kabelů jsou nadměrně zoxidovány nebo je-li vyžadováno, nejsou kabely chráněny proti zkratu.",B
679,5.1.1.1,"Prasklá, deformovaná nebo nadměrně zkorodovaná náprava, vidlice.",C
680,5.1.1.2.1,"Některý spojovací prvek upevnění nápravy uvolněný, prasklý nebo chybí nebo v otočném uložení nápravy (např. čep / pouzdro u vodících tyčí / výkyvná přední náprava traktoru) jsou větší vůle než provozní.",B
681,5.1.1.2.2,"Upevnění nápravy je natolik nespolehlivé (spojovací prvky uvolněné, prasklé nebo chybí) nebo v otočném uložení nápravy (např. čep / pouzdro u vodících tyčí / výkyvná přední náprava traktoru) jsou natolik velké vůle, zeje bezprostředně ohrožena bezpečnost jízdy vozidla.",C
682,5.1.1.2.3,"Zvětšená vůle v otočném uložení vidlice motocyklu, která má vliv na jeho provozní vlastnosti.",B
683,5.1.1.2.4,"V otočném uložení vidlice motocyklu jsou natolik velké vůle, že je bezprostředně ohrožena bezpečnost jízdy vozidla.",C
684,5.1.1.2.5,"Zhoršená stabilita, narušená funkčnost, nedostatečný odstup od jiných částí vozidla nebo od země.",C
685,5.1.1.3.1,"Nebezpečná úprava u nápravy nebo vidlice, která ovlivňuje provozní vlastnosti vozidla.",B
686,5.1.1.3.2,"Nebezpečná úprava nápravy nebo vidlice, která bezprostředně ohrožuje bezpečnost jízdy vozidla.",C
687,5.1.1.4.1,Ze zařízení pro zdvihání / spouštění nápravy nadměrně uniká médium.,B
688,5.1.1.4.2,"Zařízení pro zdvihání / spouštění nápravy je popraskané, deformované nebo nadměrně zkorodované nebo v otočném uložení jsou větší vůle než provozní nebo zařízení pro zdvihání / spouštění nápravy není funkční.",B
689,5.1.1.4.3,Některé spojovací prvky upevnění zařízení pro zdvihání / spouštění nápravy jsou uvolněné nebo chybí.,B
690,5.1.1.5.1,Netěsnost nápravy.,A
691,5.1.1.5.2,Z nápravy odkapává mazivo na vozovku.,B
692,5.1.2.1,Čep nápravy s prasklinami.,C
693,5.1.2.2.1,U rejdového čepu radiální vůle větší než provozní.,B
694,5.1.2.2.2,"U rejdového čepu je natolik velká radiální vůle, že je bezprostředně ohrožena bezpečnost jízdy vozidla.",C
695,5.1.2.3.1,U rejdového čepu axiální vůle větší než provozní.,B
696,5.1.2.3.2,"U rejdového čepu je natolik velká axiální vůle, že je bezprostředně ohrožena bezpečnost jízdy vozidla.",C
697,5.1.2.4.1,Některý spojovací prvek upevnění čepu nápravy je uvolněný nebo upevnění čepu neodpovídá požadavkům.,B
698,5.1.2.4.2,"Upevnění čepu nápravy je natolik nespolehlivé (některý spojovací prvek nadměrně uvolněný, prasklý nebo chybí) že je bezprostředně ohrožena bezpečnost jízdy vozidla.",C
699,5.1.2.5,"Viditelné zajištění upevnění čepu nápravy (např. závlačkou), je-li vyžadováno, chybí nebo není spolehlivé.",B
700,5.1.3.1.1,V uložení kola větší vůle než provozní.,B
701,5.1.3.1.2,"V uložení kola je natolik velká vůle, že je bezprostředně ohrožena bezpečnost jízdy vozidla.",C
702,5.1.3.2.1,"V uložení kola je nedostatečná provozní vůle, kolo je obtížně pohyblivé.",B
703,5.1.3.2.2,"Ložisko kola zadřené, při otáčení kola drhne, (nebezpečí přehřátí).",C
704,5.2.1.1.1,"Některý spojovací prvek upevnění kola chybí nebo je zjevně uvolněný nebo některý použitý spojovací prvek (typ matice) není vhodný pro upevnění použitého typu disku nebo je-li vozidlo vybaveno poklicemi kol, které brání v provedení předepsaných kontrolních úkonů.",B
705,5.2.1.1.2,"Upevnění kola je natolik nespolehlivé (spojovací prvky prasklé, chybí nebo jsou poškozené tak, že je nelze zjevně dotáhnout), že je bezprostředně ohrožena bezpečnost jízdy vozidla.",C
706,5.2.1.1.3,"Způsob montáže kola zjevně neodpovídá požadavkům (např. otočený disk, použití speciálních vymezovacích podložek, které nejsou zapsány v dokladech vozidla nebo použití nevhodných upevňovacích prvků nebo upravené spojovací prvky mohou způsobit zachycení chodce).",B
707,5.2.1.1.4,Způsob montáže kola zjevně neodpovídá požadavkům (např. použit nevhodný typ disku k délce upevňovacích šroubů nebo použité nevhodné upevňovací prvky pro daný typ disku) a tato závada bezprostředně ohrožuje bezpečnost jízdy vozidla (nebezpečí upadnutí kola).,C
708,5.2.1.2.1,Z náboje kola výrazně uniká mazivo.,B
709,5.2.1.2.2,"Náboj kola jev natolik zhoršeném technickém stavu (např. nadměrně opotřebený nebo poškozený), že je bezprostředně ohrožena bezpečnost jízdy vozidla (nebezpečí upadnutí kola).",C
710,5.2.1.3,"Ochranné zařízení kryjící matice kol, je-li vyžadováno, chybí, neodpovídá požadavkům nebo je poškozené tak, že neplní svoji funkci, nebo může způsobit zranění.",B
711,5.2.2.1,Zjevná trhlina nebo vada sváru na disku nebo ráfku kola.,C
712,5.2.2.2.1,Ramínko nebo pojistný kruh ráfku není náležitě připevněn.,B
713,5.2.2.2.2,Ramínko nebo pojistný kruh ráfku není náležitě připevněn a bezprostředně hrozí jeho uvolnění.,C
714,5.2.2.3.1,Některé otvory pro šrouby v disku kola jsou zjevně zvětšené a tato závada ovlivňuje spolehlivost upevnění kola vozidla.,B
715,5.2.2.3.2,Házivost kola neodpovídá požadavkům tolerance nebo zdeformovaný nebo jinak zjevně poškozený disk či ráfek ovlivňuje provozní vlastnosti vozidla.,B
716,5.2.2.3.3,"Disk nebo ráfek kola jev natolik zhoršeném technickém stavu (např. zdeformovaný nebo poškozený), zeje bezprostředně ohrožena bezpečnost jízdy vozidla.",C
717,5.2.2.4,"Neschválený typ kola nebo velikost (rozměr ráfku) není v souladu s údaji, uvedenými v technickém průkazu vozidla nebo je-li vozidlo vybaveno poklicemi kol, které brání v provedení předepsaných kontrolních úkonů.",B
718,5.2.2.5.1,"Některé dráty drátového kola jsou uvolněné, ale tato závada nemá vliv na jízdní vlastnosti vozidla.",A
719,5.2.2.5.2,"Některé dráty drátového kola jsou nadměrně zkorodované nebo jsou uvolněné, prasklé nebo chybí a tato závada ovlivňuje jízdní vlastnosti vozidla.",B
720,5.2.2.5.3,"Drátové kolo je v natolik zhoršeném technickém stavu (např. nadměrně zkorodované, uvolněné, prasklé nebo chybějící dráty nebo zdeformovaný ráfek nebo snížená tuhost drátového kola způsobuje jeho nadměrnou házivost), zeje bezprostředně ohrožena bezpečnost jízdy vozidla.",C
721,5.2.2.6,"Nepovolené změny konstrukce kola (např. opravy ve smyslu svařování, přidávání materiálů v oblasti ráfku nebo disku kolo, na základě lomů, prasklin nebo zjevného opotřebení).",C
722,5.2.2.7,"Vozidlo je vybaveno poklicemi kol, které zakrývají upevnění kol nebo jinak brání v provedení předepsaných kontrolních úkonů.",B
723,5.2.3.1.1,"Typ pneumatiky, namontovaný na vozidle, nesouhlasí s údaji uvedenými v technickém průkazu vozidla.",B
724,5.2.3.1.2,"Maximální zatížení jednotlivé pneumatiky je překročeno ve vztahu k maximálnímu technicky přípustnému zatížení nápravy, stanovené výrobcem (údaj na identifikačním štítku vozidla).",B
725,5.2.3.1.3,"Kategorie rychlosti pneumatiky je nižší, než je uvedena v technickém průkazu vozidla (konstrukční rychlost) nebo chybí informace řidiče (např. štítek) o snížené nejvyšší přípustné rychlosti, je-li informace vyžadována.",B
726,5.2.3.1.4,Nesprávný způsob montáže pneumatiky (např. směrová pneumatika nebo umístění ventilku ve dvojité montáži).,B
727,5.2.3.1.5,"Pneumatika namontovaná na vozidle, není-li stanoveno jinak, není schválená / homologovaná nebo neodpovídá požadavkům homologace.",B
728,5.2.3.2,"Pneumatiky na vozidle, nestanoví-li výrobce jinak, různé konstrukce.",B
729,5.2.3.3.1,Pneumatiky na téže nápravě se vzájemně liší označením výrobce pneumatiky.,B
730,5.2.3.3.2,Pneumatiky na téže nápravě se vzájemně liší vyznačenou šířkou nebo průměrem nebo profilovým číslem.,B
731,5.2.3.3.3,Pneumatiky na téže nápravě se vzájemně liší druhem použití.,B
732,5.2.3.3.4,Pneumatiky na téže nápravě se vzájemně liší označeným indexem únosnosti.,B
733,5.2.3.3.5,Pneumatiky na téže nápravě se vzájemně liší označenou kategorií rychlosti.,B
734,5.2.3.4,"Vzájemný rozdíl vnějších průměrů jednotlivých nezatížených pneumatik na téže nápravě nebo ve dvojité montáži se zjevně vzájemně liší o více než 1,5 %.",B
735,5.2.3.5.1,"Závažné poškození nebo proříznutí pneumatiky (např. v oblasti patky, boku, ramene, běhounu, obnažení kordu kostry, oddělování protektoru, vytrhávání pryže od běhounu, vyboulení, vznik obvodových trhlin).",B
736,5.2.3.5.2,"Poškození pneumatiky je natolik závažné, že je bezprostředně ohrožena bezpečnost jízdy vozidla.",C
737,5.2.3.6.1,Hloubka vzorku pneumatiky v hlavních dezénových drážkách nebo zářezech není v některé části šířky běhounu v souladu s požadavky.,B
738,5.2.3.6.2,Hloubka vzorku pneumatiky v hlavních dezénových drážkách nebo zářezech není v celé šířce běhounu některé části pneumatiky v souladu s požadavky.,C
739,5.2.3.7.1,Pneumatika dře o jiné části vozidla (poškození pneumatiky).,B
740,5.2.3.7.2,Pneumatika dře o jiné části vozidla a tato závada bezprostředně ohrožuje bezpečnost jízdy vozidla nebo zvyšuje riziko vzniku požáru.,C
741,5.2.3.8.1,"Obnovené drážkování pneumatiky provedeno na pneumatice, která není k tomu účelu schválena.",B
742,5.2.3.8.2,Obnovené drážkování pneumatiky není provedeno v souladu s požadavky výrobce nebo je obnažena kordová vrstva nárazníku.,B
743,5.2.3.8.3,Obnovené drážkování pneumatiky způsobilo narušení nosné kostry pneumatiky.,C
744,5.2.3.9.1,Nepovinný systémem monitorování poklesu tlaku v pneumatikách zjevně nefunguje nebo nefunguje správně.,A
745,5.2.3.9.2,"Vozidlo, je-li vyžadováno, není povinně vybaveno systémem monitorování poklesu tlaku v pneumatikách nebo systém zjevně nefunguje nebo nefunguje správně.",B
746,5.2.3.10.1,Náhradní kolo chybí nebo je poškozené nebo neodpovídá požadavkům výrobce.,B
747,5.2.3.10.2,"Vozidlo, které není vybaveno povinným náhradní kolem, nesplňuje požadavky pro jeho alternativní náhradu jinými prostředky (např. vozidlo nemá systém monitorování poklesu tlaku v každém kole nebo vozidlo nemá systém monitorování poklesu tlaku v každém kole společně se souhlasem výrobce vozidla nebo provozovatel vozidla nemá sjednanou asistenční smlouvu pro zajištění opravy poškozené pneumatiky nepřetržitě na celém území České republiky).",B
748,5.2.3.11.2,Montáž obnovených pneumatik na přední nápravě autobusů třídy II a III nebo na přední nápravě u zásahového požárního automobilu není v souladu s požadavků.,B
749,5.3.1.1.1,"V pohyblivém uložení (pouzdra / čepy / silentbloky) systému mechanického odpružení jsou větší vůle než provozní nebo některé spojovací prvky (třmeny, svorníky) jsou uvolněné nebo spojení neodpovídá požadavkům.",B
750,5.3.1.1.2,"V pohyblivém uložení (pouzdra / čepy / silentbloky) systému mechanického odpružení jsou natolik velké vůle nebo spojení mechanického odpružení je natolik nespolehlivé, že je bezprostředně ohrožena bezpečnost jízdy vozidla.",C
751,5.3.1.2.1,Některá část systému mechanického odpružení je poškozená opotřebovaná nebo nadměrně zkorodovaná.,B
752,5.3.1.2.2,"Pružné dorazy pérování poškozené tak, že neplní svoji funkci nebo chybí nebo dorazy progresivního pérování nadměrně opotřebované (probroušené) nebo chybí.",B
753,5.3.1.2.3,"Některá část systému mechanického odpružení je v natolik zhoršeném technickém stavu (např. poškozená, opotřebovaná nebo zkorodovaná), že je bezprostředně ohrožena bezpečnost jízdy vozidla.",C
754,5.3.1.3.1,"Některá součást listového pera je prasklá nebo pružící element je nadměrně opotřebený nebo poškozený, ale systém mechanického odpružení je funkční.",B
755,5.3.1.3.2,Systém mechanického odpružení není funkční nebo nefunguje správně z důvodu chybějící nebo poškozené pružící části (listové pero / pružina / torzní tyč / pružící elementy).,C
756,5.3.1.4.1,"V pohyblivém uložení (pouzdra / čepy / silentbloky / tyčky s kulovými čepy) zařízení stabilizátoru jsou větší vůle než provozní nebo některé spojovací prvky jsou uvolněné, prasklé nebo chybí nebo spojení neodpovídá požadavkům.",B
757,5.3.1.4.2,"Spojení nebo upevnění součástí stabilizátoru je natolik nespolehlivé (spojovací prvky uvolněné, prasklé nebo chybí) nebo v pohyblivém uložení stabilizátoru (pouzdra / čepy / silentbloky / tyčky s kulovými čepy) jsou natolik velké vůle, že je bezprostředně ohrožena bezpečnost jízdy vozidla.",C
758,5.3.1.5.1,Některá část stabilizátoru je poškozená nebo nadměrně zkorodovaná (např. úchyty) a tato závada ovlivňuje spolehlivost funkce stabilizátoru.,B
759,5.3.1.5.2,"Stabilizátor je natolik poškozený (některá část stabilizátoru je prasklá nebo není upevněná), že stabilizátor neplní svoji funkci.",C
760,5.3.1.6.1,"Nebezpečná úprava neschválená změna v systému mechanického odpružení nebo stabilizátoru, která ovlivňuje spolehlivost funkce systému nebo provozní vlastnosti vozidla.",B
761,5.3.1.6.2,"Nebezpečná úprava nebo neschválená změna v systému mechanického odpružení nebo stabilizátoru, která bezprostředně ohrožuje bezpečnost jízdy vozidla.",C
762,5.3.2.1,"V upevnění tlumiče pérování jsou větší vůle než provozní nebo některé spojovací prvky jsou uvolněné, prasklé nebo chybí nebo upevnění tlumiče pérování neodpovídá požadavkům.",B
763,5.3.2.2.1,Tlumič pérování je poškozený nebo netěsný avšak tato závada nemá vliv na provozní vlastnosti vozidla.,A
764,5.3.2.2.2,"Tlumič pérování chybí nebo z něj vytéká kapalina nebo je poškozený tak, že zjevně nefunguje.",B
765,5.3.3.1.1,V systému zavěšení kol (např. čepy / pouzdra / silentbloky) jsou větší vůle než provozní nebo některé spojovací prvky jsou uvolněné.,B
766,5.3.3.1.2,"V systému zavěšení kol (např. čepy / pouzdra / silentbloky) jsou natolik velké vůle nebo spojovací prvky (např. šrouby, matice) jsou natolik nespolehlivé, zeje bezprostředně ohrožena bezpečnost jízdy vozidla.",C
767,5.3.3.2.2,"Některá část systému zavěšení kol (např. ramena) je poškozená, popraskaná nebo nadměrně zkorodovaná.",B
768,5.3.3.2.3,"Některá část systému zavěšení kol je v natolik zhoršeném technickém stavu (např. je deformovaná, popraskaná nebo nadměrně zkorodovaná), že je bezprostředně ohrožena bezpečnost jízdy vozidla.",C
769,5.3.3.3.1,"Nebezpečná úprava nebo neschválená změna v systému zavěšení kol, která ovlivňuje spolehlivost funkce systému nebo provozní vlastnosti vozidla.",B
770,5.3.3.3.2,"Nebezpečná úprava nebo neschválená změna v systému zavěšení kol, která bezprostředně ohrožuje bezpečnost jízdy vozidla.",C
771,5.3.4.1.1,"Opotřebení kloubového spojení hnacího hřídele kol (poloosy), které ovlivňuje spolehlivost funkce spojení nebo provozní vlastnosti vozidla.",B
772,5.3.4.1.2,"V kloubovém spojení hnacího hřídele kol (poloosy) je natolik velká vůle, zeje bezprostředně ohrožena bezpečnost jízdy vozidla.",C
773,5.3.4.2.1,"Prachovka na hnacím hřídeli kola (poloose) je prasklá, avšak nedochází k úniku maziva.",A
774,5.3.4.2.2,"Prachovka na hnacím hřídeli kola (poloose) je chybně upevněna nebo poškozená tak, že neplní svoji funkci a dochází k úniku maziva nebo prachovka chybí.",B
775,5.3.5.1.1,"Systém pneumatického / hydropneumatického odpružení není funkční, ale tato závada bezprostředně neohrožuje bezpečnost jízdy vozidla.",B
776,5.3.5.1.2,Nefunkční systém pneumatického / hydropneumatického odpružení bezprostředně ohrožuje bezpečnost jízdy vozidla.,C
777,5.3.5.2.1,"Některá část systému pneumatického / hydropneumatického odpružení je opotřebovaná (např. měchy, vlnovce) nebo zkorodovaná, ale tato závada nemá vliv na provozní vlastnosti vozidla nebo spolehlivost systému.",A
778,5.3.5.2.2,"Některá část systému pneumatického / hydropneumatického odpružení je poškozená, popraskaná nebo nadměrně zkorodovaná.",B
779,5.3.5.2.3,"Některá část systému pneumatického / hydropneumatického odpružení je v natolik zhoršeném technickém stavu (např. poškozená, deformovaná, popraskaná nebo nadměrně zkorodovaná), že je bezprostředně ohrožena bezpečnost jízdy vozidla.",C
780,5.3.5.3,Ze systému pneumatického / hydropneumatického odpružení uniká médium (vzduch / olej).,B
781,5.3.5.4.1,"Některé spojovací prvky v systému pneumatického / hydropneumatického odpružení jsou uvolněné, prasklé nebo chybí nebo upevnění neodpovídá požadavkům.",B
782,5.3.5.4.2,"Upevnění nebo spojení systému pneumatického / hydropneumatického odpružení je natolik nespolehlivé (např. spojovací prvky uvolněné, prasklé nebo chybí), že je bezprostředně ohrožena bezpečnost jízdy vozidla.",C
783,5.3.5.5.1,"Ovládací nebo snímací zařízení nastavení výšky vozidla systému pneumatického / hydropneumatického odpružení je poškozeno nebo je zjevně chybně seřízeno, ale tato závada bezprostředně neohrožuje bezpečnost jízdy vozidla.",B
784,5.3.5.5.2,"Ovládací nebo snímací zařízení nastavení výšky vozidla systému pneumatického / hydropneumatického odpružení je zjevně chybně seřízeno nebo je natolik poškozeno, že není funkční a tato závada bezprostředně ohrožuje bezpečnost jízdy vozidla.",C
785,5.3.5.6.1,"Nebezpečná úprava nebo neschválená změna v systému pneumatického / hydropneumatického odpružení, která ovlivňuje spolehlivost funkce systému nebo provozní vlastnosti vozidla.",B
786,5.3.5.6.2,"Nebezpečná úprava nebo neschválená změna v systému pneumatického / hydropneumatického odpružení, která bezprostředně ohrožuje bezpečnost jízdy vozidla.",C
787,6.1.1.1.1,"Zjevné deformace, praskliny nebo lomy rámu, pomocného rámu nebo jiné nosné konstrukce vozidla.",B
788,6.1.1.1.2,"Rám nebo pomocný rám je v tak zhoršeném technickém stavu (např. nadměrné deformace, praskliny nebo zlomy), že je bezprostředně ohrožena bezpečnost jízdy vozidla.",C
789,6.1.1.2.1,"Některé spojovací prvky (šrouby) rámu jsou zjevně uvolněné, ale tato závada nemá vliv na pevnost konstrukce rámu.",A
790,6.1.1.2.2,"Některé spojovací prvky (šrouby, nýty, sváry) nebo výstužné desky rámu jsou zjevně uvolněné, prasklé nebo chybí.",B
791,6.1.1.2.3,"Spojení rámu nebo pomocného rámu je natolik nespolehlivé (spojovací prvky nebo výstužné desky rámu jsou zjevně uvolněné, poškozené, prasklé nebo chybí), že je bezprostředně ohrožena bezpečnost jízdy vozidla.",C
792,6.1.1.3.1,"Povrchová koroze rámu nebo pomocného rámu vozidla, která nemá vliv na pevnost konstrukce vozidla.",A
793,6.1.1.3.2,"Koroze části rámu nebo pomocného rámu vozidla, která narušuje celkovou pevnost a spolehlivost konstrukce vozidla.",B
794,6.1.1.3.3,"Pevnost rámu nebo pomocného rámu vozidla je natolik narušena korozí, zeje zjevně bezprostředně ohrožena bezpečnost jízdy vozidla.",C
